,mass A,,,,,,,,,,,,,,,,,,,,,,,,,
t,x,y,r,θr,vx,vy,v,θv,ax,ay,a,θa,θ,ω,α,step,frame,px,py,p,θp,pixelx,pixely,L,K,
0.750,-5.906E-2,-0.314,0.320,-100.6,-3.378E-3,5.312E-3,6.296E-3,122.5,-0.499,0.258,0.562,152.7,-100.6,-0.771,-96.44,45,281,-3.378E-3,5.312E-3,6.296E-3,122.5,444.4,1.387E3,1.530E-2,1.982E-5
0.767,-5.922E-2,-0.314,0.320,-100.7,-1.290E-2,8.590E-3,1.550E-2,146.3,9.475E-2,-0.556,0.564,-80.33,-100.7,-2.558,35.16,46,282,-1.290E-2,8.590E-3,1.550E-2,146.3,444.0,1.386E3,1.558E-2,1.202E-4
0.784,-5.949E-2,-0.314,0.320,-100.7,-2.095E-3,-1.337E-2,1.354E-2,-98.90,0.573,-0.942,1.103,-58.68,-100.7,7.498E-2,132.1,47,283,-2.095E-3,-1.337E-2,1.354E-2,-98.90,443.4,1.386E3,1.585E-2,9.160E-5
0.801,-5.929E-2,-0.315,0.320,-100.7,1.069E-2,-2.740E-2,2.942E-2,-68.68,0.189,-0.167,0.252,-41.44,-100.7,2.791,38.74,48,284,1.069E-2,-2.740E-2,2.942E-2,-68.68,443.8,1.387E3,1.639E-2,4.327E-4
0.817,-5.913E-2,-0.315,0.320,-100.6,2.921E-3,-1.673E-2,1.698E-2,-80.10,-0.199,0.589,0.621,108.7,-100.6,1.067,-54.61,49,285,2.921E-3,-1.673E-2,1.698E-2,-80.10,444.2,1.388E3,1.683E-2,1.442E-4
0.834,-5.919E-2,-0.315,0.321,-100.6,1.497E-3,-6.402E-3,6.574E-3,-76.84,-5.619E-2,0.350,0.355,99.11,-100.6,0.474,-21.50,50,286,1.497E-3,-6.402E-3,6.574E-3,-76.84,444.1,1.388E3,1.699E-2,2.161E-5
0.851,-5.908E-2,-0.315,0.321,-100.6,3.966E-3,-5.179E-3,6.523E-3,-52.55,-0.444,0.402,0.599,137.9,-100.6,0.867,-91.27,51,287,3.966E-3,-5.179E-3,6.523E-3,-52.55,444.3,1.389E3,1.712E-2,2.128E-5
0.867,-5.906E-2,-0.315,0.321,-100.6,-1.291E-2,4.594E-3,1.370E-2,160.4,-0.524,-0.142,0.542,-164.9,-100.6,-2.419,-87.18,52,288,-1.291E-2,4.594E-3,1.370E-2,160.4,444.4,1.389E3,1.724E-2,9.387E-5
0.884,-5.951E-2,-0.315,0.321,-100.7,-1.829E-2,-3.702E-3,1.866E-2,-168.6,0.325,-0.322,0.457,-44.75,-100.7,-3.088,67.70,53,289,-1.829E-2,-3.702E-3,1.866E-2,-168.6,443.3,1.388E3,1.776E-2,1.742E-4
0.901,-5.967E-2,-0.315,0.321,-100.7,8.617E-4,-1.455E-2,1.458E-2,-86.61,5.558E-2,0.411,0.415,82.30,-100.7,0.633,-3.912,54,290,8.617E-4,-1.455E-2,1.458E-2,-86.61,442.9,1.389E3,1.818E-2,1.062E-4
0.917,-5.948E-2,-0.315,0.321,-100.7,-1.139E-2,1.262E-2,1.700E-2,132.1,-0.113,0.605,0.615,100.6,-100.7,-2.419,-39.94,55,291,-1.139E-2,1.262E-2,1.700E-2,132.1,443.4,1.389E3,1.839E-2,1.445E-4
0.934,-6.005E-2,-0.315,0.321,-100.8,-1.385E-2,1.234E-2,1.855E-2,138.3,0.367,-0.818,0.897,-65.82,-100.8,-2.841,91.69,56,292,-1.385E-2,1.234E-2,1.855E-2,138.3,442.0,1.388E3,1.916E-2,1.721E-4
